policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,k,gamma
P3,3,2,16,57,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7107107767294929,42.14215534589858,1.0,0.3
P3,3,2,17,58,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7161898178541382,43.23796357082763,1.0,0.3
P3,3,2,18,59,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7130379991097933,42.60759982195865,1.0,0.3
P3,3,2,19,60,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7124131618292016,42.48263236584031,1.0,0.3
P3,3,2,20,61,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7091259486198247,41.82518972396494,1.0,0.3
P3,3,2,21,62,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7175038857353381,43.500777147067616,1.0,0.3
P3,3,2,22,63,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.710042990253116,42.008598050623206,1.0,0.3
P3,3,2,23,64,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7102808814870516,42.05617629741032,1.0,0.3
P3,3,2,24,65,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.71798285588982,43.59657117796401,1.0,0.3
P3,3,2,25,66,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7127911840896436,42.558236817928716,1.0,0.3
P3,3,2,26,67,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7160846888698598,43.21693777397195,1.0,0.3
P3,3,2,27,68,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7199125817587723,43.982516351754455,1.0,0.3
P3,3,2,28,69,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7189876063314113,43.79752126628227,1.0,0.3
P3,3,2,29,70,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7146252096706122,42.92504193412243,1.0,0.3
P3,3,2,30,71,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7116615202934253,42.33230405868507,1.0,0.3
P4,2,3,1,42,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7094856921107511,41.89713842215021,1.0,0.3
P4,2,3,2,43,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7104937644268872,42.098752885377436,1.0,0.3
P4,2,3,3,44,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7108693633614024,42.173872672280474,1.0,0.3
P4,2,3,4,45,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7123531753074734,42.47063506149469,1.0,0.3
P4,2,3,5,46,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7120008872999427,42.40017745998854,1.0,0.3
P4,2,3,6,47,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.713481239274284,42.69624785485679,1.0,0.3
P4,2,3,7,48,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7103023914436589,42.06047828873179,1.0,0.3
P4,2,3,8,49,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7124723487784936,42.49446975569873,1.0,0.3
P4,2,3,9,50,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.708377378235041,41.6754756470082,1.0,0.3
P4,2,3,10,51,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7134045497105713,42.68090994211426,1.0,0.3
P4,2,3,11,52,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7143753873600402,42.87507747200805,1.0,0.3
P4,2,3,12,53,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7129985638594946,42.599712771898915,1.0,0.3
P4,2,3,13,54,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7127400744294646,42.548014885892925,1.0,0.3
P4,2,3,14,55,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7128677141439896,42.573542828797926,1.0,0.3
P4,2,3,15,56,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.713520482646889,42.70409652937781,1.0,0.3
P4,2,3,16,57,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7094879616848171,41.89759233696342,1.0,0.3
P4,2,3,17,58,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7138580505944947,42.77161011889894,1.0,0.3
P4,2,3,18,59,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7117636671011695,42.35273342023389,1.0,0.3
P4,2,3,19,60,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7106442610328826,42.12885220657652,1.0,0.3
P4,2,3,20,61,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7078302451162565,41.566049023251296,1.0,0.3
P4,2,3,21,62,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7168296138063031,43.36592276126061,1.0,0.3
P4,2,3,22,63,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7089032002158656,41.78064004317312,1.0,0.3
P4,2,3,23,64,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7079135439945068,41.58270879890136,1.0,0.3
P4,2,3,24,65,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7159223765918178,43.18447531836356,1.0,0.3
P4,2,3,25,66,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7120155799424007,42.403115988480145,1.0,0.3
P4,2,3,26,67,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7145625780063651,42.91251560127303,1.0,0.3
P4,2,3,27,68,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.718075542058588,43.61510841171761,1.0,0.3
P4,2,3,28,69,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7170171661097365,43.40343322194731,1.0,0.3
