policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,initial_engagement_assumption
P3,3,2,22,63,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.601870900381689,100.623633460563,0.3
P3,3,2,23,64,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6016872455494382,100.56241518314609,0.3
P3,3,2,24,65,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6113871536526939,103.79571788423132,0.3
P3,3,2,25,66,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6058068728367084,101.93562427890282,0.3
P3,3,2,26,67,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6086461806249888,102.88206020832959,0.3
P3,3,2,27,68,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6131405536430784,104.3801845476928,0.3
P3,3,2,28,69,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6110995125682777,103.69983752275922,0.3
P3,3,2,29,70,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6074063374901257,102.46877916337525,0.3
P3,3,2,30,71,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6030241135933981,101.00803786446606,0.3
P4,2,3,1,42,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5957495755287276,98.58319184290923,0.3
P4,2,3,2,43,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5972393625108464,99.07978750361548,0.3
P4,2,3,3,44,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5966579853306989,98.88599511023298,0.3
P4,2,3,4,45,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5995086961219831,99.83623204066105,0.3
P4,2,3,5,46,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5974319427280869,99.1439809093623,0.3
P4,2,3,6,47,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.600401127492032,100.13370916401068,0.3
P4,2,3,7,48,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5961611734472327,98.72039114907759,0.3
P4,2,3,8,49,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5981439995714708,99.38133319049027,0.3
P4,2,3,9,50,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5936312163672693,97.87707212242313,0.3
P4,2,3,10,51,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.6021295609887142,100.70985366290472,0.3
P4,2,3,11,52,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.6014442112774967,100.48140375916557,0.3
P4,2,3,12,53,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5996710642618771,99.89035475395904,0.3
P4,2,3,13,54,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.598931301799136,99.64376726637867,0.3
P4,2,3,14,55,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5999289312338948,99.97631041129827,0.3
P4,2,3,15,56,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5990763047618362,99.69210158727873,0.3
P4,2,3,16,57,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5956155470435454,98.53851568118179,0.3
P4,2,3,17,58,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5995953186680343,99.86510622267811,0.3
P4,2,3,18,59,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5985002850961506,99.50009503205021,0.3
P4,2,3,19,60,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5962434391887199,98.74781306290664,0.3
P4,2,3,20,61,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5941874106453284,98.06247021510949,0.3
P4,2,3,21,62,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.604264294440226,101.42143148007534,0.3
P4,2,3,22,63,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5951240335076621,98.37467783588737,0.3
P4,2,3,23,64,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5932420940434164,97.74736468113882,0.3
P4,2,3,24,65,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.6032984629856655,101.0994876618885,0.3
P4,2,3,25,66,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5994976944866511,99.83256482888372,0.3
P4,2,3,26,67,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.6014297384284455,100.4765794761485,0.3
P4,2,3,27,68,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.6054221180090581,101.80737266968605,0.3
P4,2,3,28,69,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.60329106122665,101.09702040888334,0.3
P4,2,3,29,70,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.6011116527549397,100.37055091831324,0.3
P4,2,3,30,71,0.8465449782232979,0.7059644256269408,nonlinear,365,100,0.3,0.5947858685259214,98.26195617530715,0.3
P5,1,4,1,42,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5739411045490506,91.31370151635019,0.3
P5,1,4,2,43,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5743164501457199,91.43881671523995,0.3
P5,1,4,3,44,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5747539981718647,91.58466605728823,0.3
P5,1,4,4,45,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5768360154922173,92.27867183073911,0.3
P5,1,4,5,46,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5755376205380819,91.84587351269397,0.3
P5,1,4,6,47,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5781750248713318,92.72500829044394,0.3
P5,1,4,7,48,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.57370312284239,91.23437428079667,0.3
P5,1,4,8,49,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5753203013470843,91.77343378236145,0.3
P5,1,4,9,50,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5706137614601549,90.20458715338496,0.3
P5,1,4,10,51,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5791887021926729,93.06290073089099,0.3
P5,1,4,11,52,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5789412491888937,92.9804163962979,0.3
P5,1,4,12,53,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5777312671468451,92.57708904894837,0.3
P5,1,4,13,54,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5766712640418697,92.22375468062326,0.3
P5,1,4,14,55,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5773427354301152,92.44757847670506,0.3
P5,1,4,15,56,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5762325084926753,92.07750283089176,0.3
P5,1,4,16,57,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5738667739517282,91.28892465057609,0.3
P5,1,4,17,58,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5763162414031371,92.1054138010457,0.3
P5,1,4,18,59,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5766312004652875,92.21040015509584,0.3
P5,1,4,19,60,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.57381291048016,91.27097016005335,0.3
P5,1,4,20,61,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.572307950304701,90.7693167682337,0.3
P5,1,4,21,62,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5833519074360873,94.45063581202912,0.3
P5,1,4,22,63,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5735048135566904,91.16827118556347,0.3
